Unnamed: 0,ID,X,UniBinChoice,SGTBinChoice,SGTFreqVsValue,MGBinChoice,MGGain,MGLoss,MGValue,SGTReward,UniReward,Block,IUSScore,BaseCorona,Between,MGLA,MGLogLA,CoronaLA,CoronaLogLA,TotalLives,TotalUnemployment,k_social,k_no_social,s,c_score
19277,193,19256,b,a,a,a,80,-45,35,-1050,17,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19278,193,19257,b,a,a,b,30,-15,15,200,20,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19279,193,19263,b,c,b,a,100,-45,55,-200,17,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19280,193,19219,b,b,a,a,80,-40,40,100,21,1,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19281,193,19262,b,b,a,a,10,-40,-30,100,12,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19282,193,19261,b,b,a,a,20,-10,10,100,19,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19283,193,19260,b,a,a,a,90,-20,70,200,16,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19284,193,19274,a,b,a,a,100,-25,75,100,20,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19285,193,19275,a,d,b,a,90,-10,80,-100,47,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19286,193,19276,a,d,b,a,20,-5,15,-100,-6,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19287,193,19245,b,b,a,a,80,-15,65,100,14,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19288,193,19249,b,b,a,b,10,-35,-25,100,14,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19289,193,19236,a,a,a,b,20,-20,0,200,79,2,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19290,193,19277,b,d,b,a,50,-5,45,-100,20,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19291,193,19278,b,a,a,a,30,-10,20,-1050,25,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19292,193,19281,b,a,a,a,80,-30,50,200,8,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19293,193,19282,b,a,a,a,80,-5,75,200,18,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19294,193,19283,b,b,a,a,100,-10,90,100,11,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
